Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
77405.25,0.83513,0.674501,1.402126,-0.91645,0.905047,1.028899,-0.360129,1.001129,-0.726525,-0.451185,-0.033365,0.104503,0.324195,-0.576098,-0.480507,0.170016,1.14445,-0.429296,0.018055,-0.53082,0.300008,0.985724,-0.119632,0.181853,1.277176,-0.640105,-0.963796,0.210611,13.85,0
151531.73,-2.267077,0.688257,1.262735,0.759321,0.528993,0.992904,0.037238,-0.386531,1.549527,-1.252644,-0.965953,-0.134248,0.376997,-0.304827,-0.866608,0.345493,1.256568,0.549651,-1.042246,-0.235907,-0.488347,0.317676,-0.341864,-1.15634,-0.793594,0.006439,-0.450191,-0.935674,65.97,0
121077.81,-1.493066,0.718249,1.137004,-0.063925,0.599465,-0.607854,-0.94975,1.012276,0.484993,0.396359,1.293309,-1.161781,-0.767739,0.240849,-0.594184,0.882116,0.106254,-0.952927,0.097947,0.256332,0.883841,0.203025,0.413021,0.430341,-0.372934,-0.852822,0.30003,-0.1362,14.25,0
74675.93,-0.126986,-0.891506,0.982876,-0.688856,1.109808,-0.586992,0.004964,1.646147,-2.148052,0.452316,-0.798158,0.666467,-0.087786,-2.022401,-0.399226,-0.139278,0.698028,2.087965,1.974455,-0.46898,0.978128,1.4861,-1.810946,2.553962,-0.036092,-0.305847,0.394182,1.630382,6.38,0
100689.54,-1.433761,0.166593,-0.937933,-0.188488,-1.221541,-0.334907,-0.721916,-1.119719,0.030309,-0.212872,-1.471145,-0.874928,-0.464966,-0.230808,-1.069616,0.005552,-0.316578,-1.082907,1.069185,0.3895,0.034097,-2.043087,0.755007,1.032884,0.090437,0.518191,0.487301,0.617333,9.89,0
127720.26,0.921675,-1.548383,1.685788,-0.578059,1.027076,1.072376,-0.208864,0.945625,-1.229737,1.213029,-0.184874,0.84465,2.416431,1.090861,-0.266939,-1.006328,0.4737,0.665768,-0.737902,-0.425491,-0.735666,0.500657,-1.121379,0.289329,-1.415287,1.014531,2.105594,-1.365819,3.33,0
88990.63,-1.183551,1.354634,-0.128085,-1.587941,0.104742,-0.796848,0.17727,-1.024861,-1.152063,0.135767,-0.755939,0.714,0.063975,-0.765929,-0.053464,0.622183,-0.880548,-1.119288,-0.752299,0.052936,1.706767,1.157656,1.283618,1.208935,-3.021169,0.238349,1.494506,0.131349,21.88,0
27564.36,-0.713675,1.053737,-1.895859,1.095015,-0.319643,0.796505,1.370965,-1.720702,-0.892425,-1.427412,0.826268,0.207701,-0.220929,-2.150457,-0.410372,-0.225719,-1.173321,-0.710797,-0.164144,0.001596,1.462345,1.409369,0.908419,0.209097,-1.235751,-1.139669,0.658733,-0.511647,9.22,0
130403.06,-1.199288,-0.943842,-0.955764,-0.701543,0.341253,1.324556,-0.206544,1.655083,1.756046,0.982421,-0.549249,-1.393321,0.410226,0.506532,0.557528,1.648731,2.191896,1.389398,-0.080927,-0.662719,-0.988417,1.09556,-0.317729,-0.541233,-0.41144,0.43086,-0.765555,1.534977,190.09,0
110564.42,-1.019506,0.756666,-1.088326,-0.639237,-1.422943,-0.415432,-0.553655,0.712688,-0.416916,1.256262,-1.346762,-0.431319,-1.771149,0.645434,0.109326,-1.14207,-0.535028,-0.716993,1.623557,-0.184994,-0.09072,1.101618,-1.883582,-1.030269,1.167311,0.137537,0.833719,0.618752,32.02,0
